"components/c-100/title/","Czy rozpoznajesz Matterhorn wygenerowany przez AI?"
"components/c-513/_items/1/_options/0/text/","Zabroniona praktyka AI"
"components/c-513/_items/1/_options/1/text/","Praktyka AI wysokiego ryzyka"
"components/c-513/_items/2/text/","Automatyczne skanowanie osobistych postów pracowników w mediach społecznościowych w celu stworzenia „wyniku behawioralnego”, który wpływa na awanse lub działania dyscyplinarne w firmie."
"components/c-513/_items/2/_options/0/text/","Zabroniona praktyka AI"
"components/c-513/_items/2/_options/1/text/","Praktyka AI wysokiego ryzyka"
"components/c-513/_feedback/title/","Wyjaśnienie klasyfikacji ryzyka"
"components/c-513/_feedback/correct/","Doskonale! Poprawnie sklasyfikowałeś te praktyki AI zgodnie z ich poziomami ryzyka w ramach rozporządzenia UE w sprawie AI w kontekście korporacyjnym/miejsca pracy. To zrozumienie jest kluczowe dla zapewnienia zgodności z przepisami."
"components/c-513/_feedback/_incorrect/notFinal/","Nie do końca. Sprawdź ponownie sekcje „Zabronione zastosowania” i „Przykłady systemów wysokiego ryzyka” i zwróć szczególną uwagę na to, jak odnoszą się one do konkretnych działań w miejscu pracy."
"components/c-513/_feedback/_incorrect/final/","Przejrzyjmy poprawne klasyfikacje praktyk AI: „Zabronione praktyki AI” to te, które stanowią niedopuszczalne ryzyko dla praw podstawowych, takie jak użycie AI do wnioskowania o emocjach pracowników lub tworzenia wyników behawioralnych z mediów społecznościowych. „Praktyki AI wysokiego ryzyka” to te, które wiążą się ze znacznym ryzykiem, ale nie są całkowicie zabronione, takie jak użycie AI w rekrutacji lub ocenie wydajności pracowników."
"components/c-513/_feedback/_partlyCorrect/notFinal/","Zidentyfikowałeś niektóre kategorie poprawnie, ale nie wszystkie. Sprawdź odpowiednie sekcje, aby znaleźć te, które przegapiłeś."
"components/c-513/_feedback/_partlyCorrect/final/","Zidentyfikowałeś niektóre kategorie poprawnie, ale nie wszystkie. Sprawdź odpowiednie sekcje, aby znaleźć te, które przegapiłeś. „Zabronione praktyki AI” to te, które stanowią niedopuszczalne ryzyko dla praw podstawowych. „Praktyki AI wysokiego ryzyka” to te, które wiążą się ze znacznym ryzykiem, ale nie są całkowicie zabronione."
"components/c-513/_buttons/_submit/buttonText/","Wyślij"
"components/c-513/_buttons/_submit/ariaLabel/","Wybierz tutaj, aby wysłać swoją odpowiedź."
"components/c-513/_buttons/_reset/buttonText/","Resetuj"
"components/c-513/_buttons/_reset/ariaLabel/","Wybierz tutaj, aby zresetować swoją odpowiedź."
"components/c-513/_buttons/_showCorrectAnswer/buttonText/","Pokaż poprawną odpowiedź"
"components/c-513/_buttons/_showCorrectAnswer/ariaLabel/","Wybierz tutaj, aby pokazać poprawną odpowiedź."
"components/c-513/_buttons/_hideCorrectAnswer/buttonText/","Pokaż moją odpowiedź"
"components/c-513/_buttons/_hideCorrectAnswer/ariaLabel/","Wybierz tutaj, aby pokazać swoją odpowiedź."
"components/c-513/_buttons/_showFeedback/buttonText/","Pokaż informację zwrotną"
"components/c-513/_buttons/_showFeedback/ariaLabel/","Wybierz tutaj, aby pokazać informację zwrotną."
"components/c-513/_buttons/remainingAttemptsText/","Pozostałe próby"
"components/c-513/_buttons/remainingAttemptText/","ostatnia próba"
"components/c-514/title/","Quiz: Zrozumienie ról w rozporządzeniu UE w sprawie AI"
"components/c-514/displayTitle/","Sprawdź swoją wiedzę: Kto jest kim?"
"components/c-514/body/","Firma X, firma z siedzibą w UE, integruje narzędzie oparte na AI do analizy nastrojów klientów, opracowane przez zewnętrznego dostawcę, w swoje wewnętrzne operacje obsługi klienta, aby lepiej zrozumieć opinie klientów."
"components/c-514/instruction/","Wybierz opcję, która najlepiej opisuje podstawową rolę firmy X."
"components/c-514/ariaQuestion/","Jaką podstawową rolę pełni firma X, korzystając z tego narzędzia AI?"
"components/c-514/_items/0/text/","Dostawca"
"components/c-514/_items/0/altText/","Opcja: Rola dostawcy."
"components/c-514/_items/1/text/","Użytkownik"
"components/c-514/_items/1/altText/","Opcja: Rola użytkownika."
"components/c-514/_items/2/text/","Dystrybutor"
"components/c-514/_items/2/altText/","Opcja: Rola dystrybutora."
"components/c-514/_items/3/text/","Importer"
"components/c-514/_items/3/altText/","Opcja: Rola importera."
"components/c-514/_feedback/title/","Zrozumienie ról w rozporządzeniu UE w sprawie AI"
"components/c-514/_feedback/correct/","Zgadza się! Firma X działa jako użytkownik, ponieważ wykorzystuje system AI do własnych operacji i usług, zamiast tworzyć go, sprzedawać lub importować w celu komercyjnej dystrybucji."
"components/c-514/_feedback/_incorrect/notFinal/","Nie do końca. Sprawdź sekcję „Kluczowe role w ekosystemie rozporządzenia UE w sprawie AI”. Zastanów się, czy firma X tworzy, sprzedaje, czy po prostu używa narzędzia AI."
"components/c-514/_feedback/_incorrect/final/","Poprawna odpowiedź to Użytkownik. Dostawca tworzy lub udostępnia system AI pod własną nazwą. Dystrybutor oferuje system AI do sprzedaży, nie będąc pierwotnym producentem. Importer wprowadza system spoza UE do sprzedaży w UE. Firma X jedynie wykorzystuje narzędzie AI do własnych wewnętrznych celów biznesowych, co definiuje rolę użytkownika."
"components/c-514/_feedback/_partlyCorrect/notFinal/","To pytanie ma tylko jedną poprawną odpowiedź. Proszę sprawdzić swój wybór na podstawie treści."
"components/c-514/_feedback/_partlyCorrect/final/","To pytanie ma tylko jedną poprawną odpowiedź. Poprawna odpowiedź to Użytkownik, ponieważ firma X wykorzystuje system AI do własnych operacji."
"components/c-515/body/","Źródła: <br> <br> High-level summary of the EU AI Act, last accessed on 29.06.2025, URL: <a href=""https://artificialintelligenceact.eu/high-level-summary/"" target=""_blank"">https://artificialintelligenceact.eu/high-level-summary/</a> <br> <br> EU AI Act Compliance Checker, last accessed on 29.06.2025, URL: <a href=""https://artificialintelligenceact.eu/assessment/eu-ai-act-compliance-checker/"" target=""_blank"">https://artificialintelligenceact.eu/assessment/eu-ai-act-compliance-checker/</a> <br> <br> The AI Act Explorer, last accessed on 29.06.2025, URL: <a href=""https://artificialintelligenceact.eu/ai-act-explorer/"" target=""_blank"">https://artificialintelligenceact.eu/ai-act-explorer/</a>"
